Id,Name,Description,TypeId,DataTypeId,ComputationTypeId,TaxonomyString,LeafNode,ShowOnWebsite
1,Properties,General properties of the game.,1,1,1,1,0,0
2,Format,Format of the game.,1,1,1,1.1,0,0
3,Time,Time model.,1,1,1,1.1.1,0,0
4,Discrete,Players move at discrete intervals.,1,1,1,1.1.1.1,1,1
5,Realtime,Moves not discrete.,1,1,1,1.1.1.2,1,1
6,Turns,Player turns.,1,1,1,1.1.2,0,0
7,Alternating,Players take turns moving.,1,1,1,1.1.2.1,1,1
8,Simultaneous,Players can move at the same time.,1,1,1,1.1.2.2,1,1
9,Stochastic,Game involves chance elements.,1,1,1,1.1.3,1,1
10,HiddenInformation,Game involves hidden information.,1,1,1,1.1.4,1,1
11,Match,Match game.,1,1,1,1.1.5,1,1
12,Asymmetric,Asymmetry in rules and/or forces.,1,1,1,1.1.6,0,1
13,AsymmetricRules,Players have different rules.,1,1,1,1.1.6.1,0,1
14,AsymmetricPlayRules,Players have different play rules.,1,1,1,1.1.6.1.1,1,1
15,AsymmetricEndRules,Players have different end rules.,1,1,1,1.1.6.1.2,1,1
16,AsymmetricForces,Players have different forces.,1,1,1,1.1.6.2,0,1
17,AsymmetricSetup,Different starting positions for each player.,1,1,1,1.1.6.2.1,1,1
18,AsymmetricPiecesType,Different piece types owned by each player.,1,1,1,1.1.6.2.2,1,1
19,Players,Players of the game.,1,1,1,1.2,0,0
20,NumPlayers,Number of players.,1,2,1,1.2.1,0,1
21,Simulation,No players (environment runs the game).,1,1,1,1.2.1.1,1,1
22,Solitaire,Single player.,1,1,1,1.2.1.2,1,1
23,TwoPlayer,Two players.,1,1,1,1.2.1.3,1,1
24,Multiplayer,More than two players.,1,1,1,1.2.1.4,1,1
25,Cooperation,Players have to cooperate.,1,1,1,1.3,0,1
26,Team,Game involves teams of players.,1,1,1,1.3.1,1,1
27,Coalition,Players may form coalitions.,1,1,1,1.3.2,1,1
28,Puzzle,Type of puzzle.,1,1,1,1.4,0,1
29,DeductionPuzzle,Solution can be deduced.,1,1,1,1.4.1,1,1
30,PlanningPuzzle,Solution is reached in moving pieces.,1,1,1,1.4.2,1,1
31,Equipment,Equipment for playing the game.,2,1,1,2,0,0
32,Container,Containers that hold components.,11,1,1,2.1,0,0
33,Board,Board shared by player for playing the game.,11,1,1,2.1.1,0,0
34,Shape,The shape of the board.,11,1,1,2.1.1.1,0,1
35,SquareShape,Square shape.,11,1,1,2.1.1.1.1,1,1
36,HexShape,Hexagonal shape.,11,1,1,2.1.1.1.2,1,1
37,TriangleShape,Triangle shape.,11,1,1,2.1.1.1.3,1,1
38,DiamondShape,Diamond shape.,11,1,1,2.1.1.1.4,1,1
39,RectangleShape,Rectangle shape.,11,1,1,2.1.1.1.5,1,1
40,SpiralShape,Spirale shape.,11,1,1,2.1.1.1.6,1,1
41,CircleShape,Circle shape.,11,1,1,2.1.1.1.7,1,1
42,PrismShape,Prism shape.,11,1,1,2.1.1.1.8,1,1
43,StarShape,Star shape.,11,1,1,2.1.1.1.9,1,1
44,ParallelogramShape,Parallelogram shape.,11,1,1,2.1.1.1.10,1,1
45,SquarePyramidalShape,Square Pyramidal shape.,11,1,1,2.1.1.1.11,1,1
46,RectanglePyramidalShape,Rectangle Pyramidal shape.,11,1,1,2.1.1.1.12,1,1
47,RegularShape,Regular shape.,11,1,1,2.1.1.1.13,1,1
48,PolygonShape,General polygonal shape.,11,1,1,2.1.1.1.14,1,1
49,TargetShape,Target shape.,11,1,1,2.1.1.1.15,1,1
50,Tiling,The tiling of the board.,11,1,1,2.1.1.2,0,1
51,SquareTiling,Square tiling.,11,1,1,2.1.1.2.1,1,1
52,HexTiling,Hexagonal tiling.,11,1,1,2.1.1.2.2,1,1
53,TriangleTiling,Triangle tiling.,11,1,1,2.1.1.2.3,1,1
54,BrickTiling,Brick tiling.,11,1,1,2.1.1.2.4,1,1
55,SemiRegularTiling,Semi regular tiling.,11,1,1,2.1.1.2.5,1,1
56,CelticTiling,Celtic tiling.,11,1,1,2.1.1.2.6,1,1
57,MorrisTiling,Morris tiling.,11,1,1,2.1.1.2.7,1,1
58,QuadHexTiling,QuadHex tiling.,11,1,1,2.1.1.2.8,1,1
59,CircleTiling,Circle tiling.,11,1,1,2.1.1.2.9,1,1
60,ConcentricTiling,Concentric tiling.,11,1,1,2.1.1.2.10,1,1
61,SpiralTiling,Spiral tiling.,11,1,1,2.1.1.2.11,1,1
62,AlquerqueTiling,Alquerque tiling.,11,1,1,2.1.1.2.12,1,1
63,MancalaBoard,Mancala board.,11,1,1,2.1.1.3,0,1
64,MancalaStores,Mancala board with stores.,11,1,1,2.1.1.3.1,1,1
65,MancalaTwoRows,Mancala board with 2 rows.,11,1,1,2.1.1.3.2,1,1
66,MancalaThreeRows,Mancala board with 3 rows.,11,1,1,2.1.1.3.3,1,1
67,MancalaFourRows,Mancala board with 4 rows.,11,1,1,2.1.1.3.4,1,1
68,MancalaSixRows,Mancala board with 6 rows.,11,1,1,2.1.1.3.5,1,1
69,MancalaCircular,Mancala board with circular tiling.,11,1,1,2.1.1.3.6,1,1
70,Track,The board has a track.,11,1,1,2.1.1.12,0,1
71,TrackLoop,A track is a loop.,11,1,1,2.1.1.12.1,1,1
72,TrackOwned,A track is owned.,11,1,1,2.1.1.12.2,1,1
73,Hints,The board has some hints.,11,1,1,2.1.1.13,1,1
74,Region,The board has regions.,11,1,1,2.1.1.14,1,1
75,Boardless,Game is played on an implied grid.,11,1,1,2.1.1.15,1,1
76,PlayableSites,Playable sites.,11,1,1,2.1.1.16,0,1
77,Vertex,Use Vertices.,11,1,1,2.1.1.16.1,1,1
78,Cell,Use cells.,11,1,1,2.1.1.16.2,1,1
79,Edge,Use edges.,11,1,1,2.1.1.16.3,1,1
80,NumPlayableSitesOnBoard,Number of playables sites on the board.,11,2,1,2.1.1.16.4,1,1
81,NumColumns,Number of columns of the board.,11,2,1,2.1.1.17,1,1
82,NumRows,Number of rows of the board.,11,2,1,2.1.1.18,1,1
83,NumCorners,Number of corners of the board.,11,2,1,2.1.1.19,1,1
84,NumDirections,Average number of directions of each playable site on the board.,11,4,1,2.1.1.20,1,1
85,NumOrthogonalDirections,Average number of orthogonal directions of each playable site on the board.,11,4,1,2.1.1.21,1,1
86,NumDiagonalDirections,Average number of diagonal directions of each playable site on the board.,11,4,1,2.1.1.22,1,1
87,NumAdjacentDirections,Average number of adjacent directions of each playable site on the board.,11,4,1,2.1.1.23,1,1
88,NumOffDiagonalDirections,Average number of off diagonal directions of each playable site on the board.,11,4,1,2.1.1.24,1,1
89,NumOuterSites,Number of outer sites of the board.,11,2,1,2.1.1.25,1,1
90,NumInnerSites,Number of inner sites of the board.,11,2,1,2.1.1.26,1,1
91,NumLayers,Number of layers of the board.,11,2,1,2.1.1.27,1,1
